"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 07:25:46.749,2 Jul 2021 07:30:46.046,299.297
2,2 Jul 2021 09:00:59.364,2 Jul 2021 09:07:24.810,385.446
3,2 Jul 2021 10:37:31.972,2 Jul 2021 10:43:44.967,372.995
4,2 Jul 2021 12:13:53.728,2 Jul 2021 12:20:19.762,386.034
5,2 Jul 2021 13:50:23.645,2 Jul 2021 13:55:50.252,326.607
6,3 Jul 2021 06:31:15.745,3 Jul 2021 06:33:48.274,152.529
7,3 Jul 2021 08:05:03.547,3 Jul 2021 08:11:23.440,379.893
8,3 Jul 2021 09:41:24.125,3 Jul 2021 09:47:40.011,375.886
9,3 Jul 2021 11:17:53.244,3 Jul 2021 11:24:13.594,380.349
10,3 Jul 2021 12:54:10.867,3 Jul 2021 13:00:20.364,369.496
11,4 Jul 2021 07:09:21.118,4 Jul 2021 07:15:16.741,355.623
12,4 Jul 2021 08:45:16.095,4 Jul 2021 08:51:37.666,381.571
13,4 Jul 2021 10:21:50.245,4 Jul 2021 10:28:04.713,374.468
14,4 Jul 2021 11:58:06.839,4 Jul 2021 12:04:31.704,384.865
15,4 Jul 2021 13:35:11.189,4 Jul 2021 13:39:01.025,229.836
16,5 Jul 2021 06:14:00.782,5 Jul 2021 06:18:56.992,296.210
17,5 Jul 2021 07:49:11.569,5 Jul 2021 07:55:36.574,385.005
18,5 Jul 2021 09:25:43.906,5 Jul 2021 09:31:56.424,372.518
19,5 Jul 2021 11:02:05.767,5 Jul 2021 11:08:31.210,385.443
20,5 Jul 2021 12:38:34.983,5 Jul 2021 12:44:03.001,328.018
21,6 Jul 2021 05:19:32.166,6 Jul 2021 05:21:55.158,142.992
22,6 Jul 2021 06:53:15.073,6 Jul 2021 06:59:34.131,379.058
23,6 Jul 2021 08:29:35.011,6 Jul 2021 08:35:50.579,375.568
24,6 Jul 2021 10:06:04.251,6 Jul 2021 10:12:23.900,379.649
25,6 Jul 2021 11:42:21.606,6 Jul 2021 11:48:31.422,369.816
