"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 02:47:12.970,2 Jul 2021 02:50:56.886,223.916
2,2 Jul 2021 04:21:43.704,2 Jul 2021 04:28:07.486,383.781
3,2 Jul 2021 05:58:44.901,2 Jul 2021 06:04:14.550,329.650
4,2 Jul 2021 07:35:38.486,2 Jul 2021 07:41:07.565,329.078
5,2 Jul 2021 09:11:45.350,2 Jul 2021 09:18:10.824,385.473
6,2 Jul 2021 10:48:49.800,2 Jul 2021 10:52:50.232,240.432
7,3 Jul 2021 03:25:50.304,3 Jul 2021 03:32:05.308,375.004
8,3 Jul 2021 05:02:23.047,3 Jul 2021 05:08:14.657,351.610
9,3 Jul 2021 06:39:32.136,3 Jul 2021 06:44:47.212,315.076
10,3 Jul 2021 08:15:48.405,3 Jul 2021 08:22:01.004,372.599
11,3 Jul 2021 09:52:11.718,3 Jul 2021 09:57:53.298,341.581
12,4 Jul 2021 02:30:19.124,4 Jul 2021 02:35:51.157,332.034
13,4 Jul 2021 04:06:04.901,4 Jul 2021 04:12:17.558,372.657
14,4 Jul 2021 05:43:17.610,4 Jul 2021 05:48:32.984,315.373
15,4 Jul 2021 07:19:51.416,4 Jul 2021 07:25:41.728,350.312
16,4 Jul 2021 08:55:59.462,4 Jul 2021 09:02:18.763,379.300
17,5 Jul 2021 01:35:28.820,5 Jul 2021 01:39:06.609,217.789
18,5 Jul 2021 03:09:56.078,5 Jul 2021 03:16:19.521,383.443
19,5 Jul 2021 04:46:56.621,5 Jul 2021 04:52:26.325,329.705
20,5 Jul 2021 06:23:50.692,5 Jul 2021 06:29:18.628,327.936
21,5 Jul 2021 07:59:57.543,5 Jul 2021 08:06:22.397,384.854
22,5 Jul 2021 09:36:59.968,5 Jul 2021 09:41:04.636,244.668
23,6 Jul 2021 02:14:02.225,6 Jul 2021 02:20:16.119,373.894
24,6 Jul 2021 03:50:33.770,6 Jul 2021 03:56:25.608,351.838
25,6 Jul 2021 05:27:43.120,6 Jul 2021 05:32:57.403,314.283
26,6 Jul 2021 07:03:59.689,6 Jul 2021 07:10:11.197,371.508
27,6 Jul 2021 08:40:22.147,6 Jul 2021 08:46:05.101,342.954
28,7 Jul 2021 01:18:30.928,7 Jul 2021 01:24:00.434,329.507
29,7 Jul 2021 02:54:14.801,7 Jul 2021 03:00:27.581,372.780
30,7 Jul 2021 04:31:27.348,7 Jul 2021 04:36:42.424,315.077
31,7 Jul 2021 06:08:01.662,7 Jul 2021 06:13:50.704,349.042
32,7 Jul 2021 07:44:09.357,7 Jul 2021 07:50:28.766,379.408
33,8 Jul 2021 00:23:41.833,8 Jul 2021 00:27:13.035,211.202
34,8 Jul 2021 01:58:05.345,8 Jul 2021 02:04:28.482,383.137
35,8 Jul 2021 03:35:05.196,8 Jul 2021 03:40:35.028,329.832
36,8 Jul 2021 05:11:59.794,8 Jul 2021 05:17:26.570,326.776
37,8 Jul 2021 06:48:06.663,8 Jul 2021 06:54:30.848,384.185
38,8 Jul 2021 08:25:07.041,8 Jul 2021 08:29:15.975,248.934
39,9 Jul 2021 01:02:11.067,9 Jul 2021 01:08:23.852,372.785
40,9 Jul 2021 02:38:41.348,9 Jul 2021 02:44:33.496,352.148
41,9 Jul 2021 04:15:50.978,9 Jul 2021 04:21:04.494,313.516
42,9 Jul 2021 05:52:07.889,9 Jul 2021 05:58:18.263,370.374
43,9 Jul 2021 07:28:29.491,9 Jul 2021 07:34:13.830,344.339
44,10 Jul 2021 00:06:39.714,10 Jul 2021 00:12:06.579,326.865
45,10 Jul 2021 01:42:21.573,10 Jul 2021 01:48:34.542,372.968
46,10 Jul 2021 03:19:33.939,10 Jul 2021 03:24:48.785,314.846
47,10 Jul 2021 04:56:08.818,10 Jul 2021 05:01:56.553,347.735
48,10 Jul 2021 06:32:16.172,10 Jul 2021 06:38:35.673,379.501
49,10 Jul 2021 23:11:52.027,10 Jul 2021 23:15:16.144,204.117
