"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 07:28:04.509,2 Jul 2021 07:32:48.023,283.513
2,2 Jul 2021 09:03:05.249,2 Jul 2021 09:09:19.310,374.061
3,2 Jul 2021 10:39:05.055,2 Jul 2021 10:45:24.257,379.202
4,2 Jul 2021 12:15:23.143,2 Jul 2021 12:20:51.357,328.214
5,3 Jul 2021 06:33:17.812,3 Jul 2021 06:36:07.644,169.831
6,3 Jul 2021 08:07:17.924,3 Jul 2021 08:13:18.835,360.911
7,3 Jul 2021 09:43:07.581,3 Jul 2021 09:49:28.370,380.789
8,3 Jul 2021 11:19:17.595,3 Jul 2021 11:25:15.839,358.244
9,3 Jul 2021 12:56:44.206,3 Jul 2021 12:58:56.170,131.964
10,4 Jul 2021 07:11:40.016,4 Jul 2021 07:17:13.926,333.910
11,4 Jul 2021 08:47:11.300,4 Jul 2021 08:53:30.452,379.152
12,4 Jul 2021 10:23:16.529,4 Jul 2021 10:29:29.273,372.744
13,4 Jul 2021 11:59:51.846,4 Jul 2021 12:04:22.233,270.388
14,5 Jul 2021 06:16:18.402,5 Jul 2021 06:20:59.156,280.755
15,5 Jul 2021 07:51:17.755,5 Jul 2021 07:57:31.076,373.320
16,5 Jul 2021 09:27:17.246,5 Jul 2021 09:33:36.066,378.820
17,5 Jul 2021 11:03:34.909,5 Jul 2021 11:09:03.847,328.938
18,6 Jul 2021 05:21:32.818,6 Jul 2021 05:24:15.941,163.122
19,6 Jul 2021 06:55:29.663,6 Jul 2021 07:01:29.527,359.864
20,6 Jul 2021 08:31:18.808,6 Jul 2021 08:37:39.114,380.306
21,6 Jul 2021 10:07:28.566,6 Jul 2021 10:13:26.940,358.374
22,6 Jul 2021 11:44:52.209,6 Jul 2021 11:47:10.770,138.561
23,7 Jul 2021 05:59:51.156,7 Jul 2021 06:05:23.421,332.265
24,7 Jul 2021 07:35:21.590,7 Jul 2021 07:41:40.169,378.579
25,7 Jul 2021 09:11:26.590,7 Jul 2021 09:17:39.134,372.544
26,7 Jul 2021 10:48:01.054,7 Jul 2021 10:52:33.371,272.317
27,8 Jul 2021 05:04:29.283,8 Jul 2021 05:09:07.163,277.880
28,8 Jul 2021 06:39:27.175,8 Jul 2021 06:45:39.763,372.588
29,8 Jul 2021 08:15:26.347,8 Jul 2021 08:21:44.794,378.447
30,8 Jul 2021 09:51:43.590,8 Jul 2021 09:57:13.280,329.690
31,9 Jul 2021 04:09:45.038,9 Jul 2021 04:12:20.906,155.868
32,9 Jul 2021 05:43:38.323,9 Jul 2021 05:49:37.134,358.811
33,9 Jul 2021 07:19:26.939,9 Jul 2021 07:25:46.781,379.843
34,9 Jul 2021 08:55:36.446,9 Jul 2021 09:01:34.969,358.523
35,9 Jul 2021 10:32:57.187,9 Jul 2021 10:35:22.263,145.075
36,10 Jul 2021 04:47:59.231,10 Jul 2021 04:53:29.832,330.601
37,10 Jul 2021 06:23:28.782,10 Jul 2021 06:29:46.812,378.030
38,10 Jul 2021 07:59:33.552,10 Jul 2021 08:05:45.922,372.370
39,10 Jul 2021 09:36:07.157,10 Jul 2021 09:40:41.470,274.314
40,11 Jul 2021 03:52:37.146,11 Jul 2021 03:57:12.053,274.907
41,11 Jul 2021 05:27:33.498,11 Jul 2021 05:33:45.377,371.879
42,11 Jul 2021 07:03:32.346,11 Jul 2021 07:09:50.448,378.102
43,11 Jul 2021 08:39:49.171,11 Jul 2021 08:45:19.649,330.478
44,12 Jul 2021 02:57:54.509,12 Jul 2021 03:00:22.480,147.971
45,12 Jul 2021 04:31:43.895,12 Jul 2021 04:37:41.668,357.774
46,12 Jul 2021 06:07:31.962,12 Jul 2021 06:13:51.376,379.413
47,12 Jul 2021 07:43:41.225,12 Jul 2021 07:49:39.930,358.705
48,12 Jul 2021 09:20:59.120,12 Jul 2021 09:23:30.664,151.543
49,13 Jul 2021 03:36:04.242,13 Jul 2021 03:41:33.150,328.908
50,13 Jul 2021 05:11:32.863,13 Jul 2021 05:17:50.384,377.521
51,13 Jul 2021 06:47:37.413,13 Jul 2021 06:53:49.639,372.226
52,13 Jul 2021 08:24:10.147,13 Jul 2021 08:28:46.530,276.383
53,14 Jul 2021 02:40:41.985,14 Jul 2021 02:45:13.811,271.826
54,14 Jul 2021 04:15:36.715,14 Jul 2021 04:21:47.920,371.205
55,14 Jul 2021 05:51:35.232,14 Jul 2021 05:57:53.030,377.799
56,14 Jul 2021 07:27:51.641,14 Jul 2021 07:33:22.968,331.326
57,15 Jul 2021 01:46:01.277,15 Jul 2021 01:48:20.626,139.349
58,15 Jul 2021 03:19:46.369,15 Jul 2021 03:25:43.126,356.757
59,15 Jul 2021 04:55:33.868,15 Jul 2021 05:01:52.900,379.032
60,15 Jul 2021 06:31:42.890,15 Jul 2021 06:37:41.827,358.937
61,15 Jul 2021 08:08:57.994,15 Jul 2021 08:11:35.992,157.998
62,16 Jul 2021 02:24:06.176,16 Jul 2021 02:29:33.377,327.201
63,16 Jul 2021 03:59:33.825,16 Jul 2021 04:05:50.887,377.063
64,16 Jul 2021 05:35:38.153,16 Jul 2021 05:41:50.288,372.135
65,16 Jul 2021 07:12:10.013,16 Jul 2021 07:16:48.556,278.543
66,17 Jul 2021 01:28:43.795,17 Jul 2021 01:33:12.440,268.645
67,17 Jul 2021 03:03:36.811,17 Jul 2021 03:09:47.392,370.581
68,17 Jul 2021 04:39:34.993,17 Jul 2021 04:45:52.544,377.551
69,17 Jul 2021 06:15:50.995,17 Jul 2021 06:21:23.238,332.243
70,18 Jul 2021 00:34:05.413,18 Jul 2021 00:36:15.249,129.836
71,18 Jul 2021 02:07:45.737,18 Jul 2021 02:13:41.505,355.768
72,18 Jul 2021 03:43:32.644,18 Jul 2021 03:49:51.356,378.712
73,18 Jul 2021 05:19:41.432,18 Jul 2021 05:25:40.668,359.235
74,18 Jul 2021 06:56:53.781,18 Jul 2021 06:59:38.247,164.466
75,19 Jul 2021 01:12:05.026,19 Jul 2021 01:17:30.507,325.482
76,19 Jul 2021 02:47:31.656,19 Jul 2021 02:53:48.322,376.666
77,19 Jul 2021 04:23:35.765,19 Jul 2021 04:29:47.871,372.107
78,19 Jul 2021 06:00:06.744,19 Jul 2021 06:04:47.553,280.809
79,20 Jul 2021 00:16:42.576,20 Jul 2021 00:21:07.929,265.352
80,20 Jul 2021 01:51:33.783,20 Jul 2021 01:57:43.797,370.014
81,20 Jul 2021 03:27:31.619,20 Jul 2021 03:33:48.989,377.370
82,20 Jul 2021 05:03:47.206,20 Jul 2021 05:09:20.455,333.249
83,20 Jul 2021 23:22:07.018,20 Jul 2021 23:24:06.238,119.220
84,21 Jul 2021 00:55:41.990,21 Jul 2021 01:01:36.799,354.809
85,21 Jul 2021 02:31:28.281,21 Jul 2021 02:37:46.743,378.463
86,21 Jul 2021 04:07:36.840,21 Jul 2021 04:13:36.442,359.603
87,21 Jul 2021 05:44:46.481,21 Jul 2021 05:47:37.430,170.949
88,22 Jul 2021 00:00:00.786,22 Jul 2021 00:05:24.540,323.754
89,22 Jul 2021 01:35:26.347,22 Jul 2021 01:41:42.686,376.338
90,22 Jul 2021 03:11:30.236,22 Jul 2021 03:17:42.387,372.151
91,22 Jul 2021 04:48:00.330,22 Jul 2021 04:52:43.517,283.188
92,22 Jul 2021 23:04:38.320,22 Jul 2021 23:09:00.275,261.955
93,23 Jul 2021 00:39:27.626,23 Jul 2021 00:45:37.122,369.496
94,23 Jul 2021 02:15:25.100,23 Jul 2021 02:21:42.366,377.266
95,23 Jul 2021 03:51:40.284,23 Jul 2021 03:57:14.624,334.340
96,23 Jul 2021 22:10:06.275,23 Jul 2021 22:11:53.405,107.131
97,23 Jul 2021 23:43:35.124,23 Jul 2021 23:49:29.012,353.888
98,24 Jul 2021 01:19:20.769,24 Jul 2021 01:25:39.063,378.294
99,24 Jul 2021 02:55:29.101,24 Jul 2021 03:01:29.161,360.060
100,24 Jul 2021 04:32:36.075,24 Jul 2021 04:35:33.556,177.481
101,24 Jul 2021 22:47:53.454,24 Jul 2021 22:53:15.467,322.014
102,25 Jul 2021 00:23:17.891,25 Jul 2021 00:29:33.975,376.084
103,25 Jul 2021 01:59:21.557,25 Jul 2021 02:05:33.835,372.278
104,25 Jul 2021 03:35:50.762,25 Jul 2021 03:40:36.442,285.681
105,25 Jul 2021 21:52:31.031,25 Jul 2021 21:56:49.452,258.421
106,25 Jul 2021 23:27:18.322,25 Jul 2021 23:33:27.366,369.045
107,26 Jul 2021 01:03:15.427,26 Jul 2021 01:09:32.670,377.243
108,26 Jul 2021 02:39:30.205,26 Jul 2021 02:45:05.742,335.536
109,26 Jul 2021 20:58:03.478,26 Jul 2021 20:59:36.441,92.962
110,26 Jul 2021 22:31:25.135,26 Jul 2021 22:37:18.132,352.998
111,27 Jul 2021 00:07:10.101,27 Jul 2021 00:13:28.302,378.201
112,27 Jul 2021 01:43:18.208,27 Jul 2021 01:49:18.813,360.604
113,27 Jul 2021 03:20:22.557,27 Jul 2021 03:23:26.606,184.049
114,27 Jul 2021 21:35:43.027,27 Jul 2021 21:41:03.277,320.250
115,27 Jul 2021 23:11:06.282,27 Jul 2021 23:17:22.185,375.903
116,28 Jul 2021 00:47:09.720,28 Jul 2021 00:53:22.212,372.492
117,28 Jul 2021 02:23:38.032,28 Jul 2021 02:28:26.338,288.306
118,28 Jul 2021 20:40:20.720,28 Jul 2021 20:44:35.456,254.736
119,28 Jul 2021 22:15:05.880,28 Jul 2021 22:21:14.524,368.644
120,28 Jul 2021 23:51:02.591,28 Jul 2021 23:57:19.898,377.307
121,29 Jul 2021 01:27:16.965,29 Jul 2021 01:32:53.803,336.837
122,29 Jul 2021 19:45:59.241,29 Jul 2021 19:47:14.719,75.478
123,29 Jul 2021 21:19:12.019,29 Jul 2021 21:25:04.153,352.134
124,29 Jul 2021 22:54:56.270,29 Jul 2021 23:01:14.461,378.191
125,30 Jul 2021 00:31:04.153,30 Jul 2021 00:37:05.395,361.242
126,30 Jul 2021 02:08:05.921,30 Jul 2021 02:11:16.585,190.664
127,30 Jul 2021 20:23:29.507,30 Jul 2021 20:28:47.955,318.448
128,30 Jul 2021 21:58:51.514,30 Jul 2021 22:05:07.304,375.790
129,30 Jul 2021 23:34:54.717,30 Jul 2021 23:41:07.505,372.788
130,31 Jul 2021 01:11:22.134,31 Jul 2021 01:16:13.181,291.047
131,31 Jul 2021 19:28:07.393,31 Jul 2021 19:32:18.263,250.870
132,31 Jul 2021 21:02:50.284,31 Jul 2021 21:08:58.585,368.301
133,31 Jul 2021 22:38:46.587,31 Jul 2021 22:45:04.040,377.453
134,1 Aug 2021 00:15:00.553,1 Aug 2021 00:20:38.801,338.247

