"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 04:19:06.560,2 Jul 2021 04:24:44.916,338.357
2,2 Jul 2021 05:55:02.736,2 Jul 2021 06:01:06.654,363.917
3,2 Jul 2021 07:32:38.499,2 Jul 2021 07:37:12.405,273.907
4,2 Jul 2021 09:09:20.087,2 Jul 2021 09:14:34.208,314.120
5,2 Jul 2021 10:45:17.562,2 Jul 2021 10:51:43.746,386.183
6,2 Jul 2021 12:23:14.405,2 Jul 2021 12:25:18.015,123.610
7,3 Jul 2021 03:24:15.975,3 Jul 2021 03:28:00.942,224.967
8,3 Jul 2021 04:58:49.568,3 Jul 2021 05:05:11.733,382.165
9,3 Jul 2021 06:36:09.902,3 Jul 2021 06:41:09.185,299.283
10,3 Jul 2021 08:13:20.705,3 Jul 2021 08:18:03.622,282.917
11,3 Jul 2021 09:49:21.023,3 Jul 2021 09:55:36.220,375.197
12,3 Jul 2021 11:25:56.385,3 Jul 2021 11:31:05.627,309.243
13,4 Jul 2021 04:02:52.980,4 Jul 2021 04:09:10.558,377.579
14,4 Jul 2021 05:39:39.545,4 Jul 2021 05:45:12.840,333.295
15,4 Jul 2021 07:17:11.350,4 Jul 2021 07:21:38.435,267.086
16,4 Jul 2021 08:53:27.346,4 Jul 2021 08:59:14.751,347.405
17,4 Jul 2021 10:29:34.658,4 Jul 2021 10:35:44.912,370.254
18,5 Jul 2021 03:07:20.314,5 Jul 2021 03:12:56.235,335.920
19,5 Jul 2021 04:43:14.513,5 Jul 2021 04:49:18.766,364.253
20,5 Jul 2021 06:20:50.085,5 Jul 2021 06:25:23.882,273.796
21,5 Jul 2021 07:57:32.430,5 Jul 2021 08:02:44.916,312.486
22,5 Jul 2021 09:33:29.637,5 Jul 2021 09:39:55.385,385.748
23,5 Jul 2021 11:11:21.170,5 Jul 2021 11:13:35.809,134.638
24,6 Jul 2021 02:12:30.891,6 Jul 2021 02:16:09.452,218.561
25,6 Jul 2021 03:47:00.744,6 Jul 2021 03:53:22.765,382.021
26,6 Jul 2021 05:24:20.289,6 Jul 2021 05:29:19.988,299.700
27,6 Jul 2021 07:01:31.849,6 Jul 2021 07:06:13.363,281.514
28,6 Jul 2021 08:37:32.279,6 Jul 2021 08:43:46.343,374.064
29,6 Jul 2021 10:14:06.280,6 Jul 2021 10:19:17.957,311.677
