"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 04:20:28.294,2 Jul 2021 04:26:29.275,360.981
2,2 Jul 2021 05:56:38.705,2 Jul 2021 06:02:45.897,367.191
3,2 Jul 2021 07:33:40.939,2 Jul 2021 07:39:13.050,332.111
4,2 Jul 2021 09:10:01.988,2 Jul 2021 09:16:16.827,374.839
5,2 Jul 2021 10:46:24.439,2 Jul 2021 10:52:10.860,346.422
6,3 Jul 2021 03:25:10.543,3 Jul 2021 03:30:07.326,296.783
7,3 Jul 2021 05:00:26.922,3 Jul 2021 05:06:48.116,381.195
8,3 Jul 2021 06:37:26.935,3 Jul 2021 06:43:02.462,335.528
9,3 Jul 2021 08:14:03.746,3 Jul 2021 08:20:00.387,356.641
10,3 Jul 2021 09:50:14.126,3 Jul 2021 09:56:34.323,380.197
11,4 Jul 2021 02:31:00.897,4 Jul 2021 02:32:47.627,106.731
12,4 Jul 2021 04:04:25.858,4 Jul 2021 04:10:48.109,382.251
13,4 Jul 2021 05:41:08.661,4 Jul 2021 05:46:57.967,349.306
14,4 Jul 2021 07:18:01.481,4 Jul 2021 07:23:41.271,339.790
15,4 Jul 2021 08:54:12.642,4 Jul 2021 09:00:37.854,385.211
16,4 Jul 2021 10:31:08.072,4 Jul 2021 10:35:29.078,261.006
17,5 Jul 2021 03:08:41.546,5 Jul 2021 03:14:40.923,359.377
18,5 Jul 2021 04:44:50.605,5 Jul 2021 04:50:57.850,367.245
19,5 Jul 2021 06:21:52.905,5 Jul 2021 06:27:24.385,331.480
20,5 Jul 2021 07:58:14.237,5 Jul 2021 08:04:28.098,373.862
21,5 Jul 2021 09:34:35.964,5 Jul 2021 09:40:23.557,347.593
22,6 Jul 2021 02:13:23.908,6 Jul 2021 02:18:17.210,293.301
23,6 Jul 2021 03:48:38.052,6 Jul 2021 03:54:59.096,381.045
24,6 Jul 2021 05:25:37.720,6 Jul 2021 05:31:13.011,335.291
25,6 Jul 2021 07:02:14.946,6 Jul 2021 07:08:10.490,355.545
