"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 07:28:14.532,2 Jul 2021 07:34:06.705,352.173
2,2 Jul 2021 09:03:59.018,2 Jul 2021 09:10:24.286,385.267
3,2 Jul 2021 10:40:10.762,2 Jul 2021 10:46:34.168,383.406
4,2 Jul 2021 12:16:38.038,2 Jul 2021 12:21:52.783,314.744
5,3 Jul 2021 06:32:47.587,3 Jul 2021 06:37:54.875,307.287
6,3 Jul 2021 08:08:02.218,3 Jul 2021 08:14:24.256,382.039
7,3 Jul 2021 09:44:11.063,3 Jul 2021 09:50:36.669,385.605
8,3 Jul 2021 11:20:27.506,3 Jul 2021 11:26:23.610,356.104
9,4 Jul 2021 05:37:50.201,4 Jul 2021 05:41:21.529,211.328
10,4 Jul 2021 07:12:10.351,4 Jul 2021 07:18:23.061,372.710
11,4 Jul 2021 08:48:11.046,4 Jul 2021 08:54:36.725,385.679
12,4 Jul 2021 10:24:23.941,4 Jul 2021 10:30:39.352,375.411
13,4 Jul 2021 12:01:18.730,4 Jul 2021 12:05:09.113,230.382
14,5 Jul 2021 06:16:27.571,5 Jul 2021 06:22:18.334,350.763
15,5 Jul 2021 07:52:11.282,5 Jul 2021 07:58:36.025,384.743
16,5 Jul 2021 09:28:22.886,5 Jul 2021 09:34:45.938,383.051
17,5 Jul 2021 11:04:49.585,5 Jul 2021 11:10:05.544,315.959
18,6 Jul 2021 05:21:00.275,6 Jul 2021 05:26:05.116,304.841
19,6 Jul 2021 06:56:13.589,6 Jul 2021 07:02:34.999,381.409
20,6 Jul 2021 08:32:22.194,6 Jul 2021 08:38:47.342,385.148
21,6 Jul 2021 10:08:38.365,6 Jul 2021 10:14:34.826,356.461
22,7 Jul 2021 04:26:03.467,7 Jul 2021 04:29:29.489,206.023
23,7 Jul 2021 06:00:20.942,7 Jul 2021 06:06:32.757,371.815
24,7 Jul 2021 07:36:21.177,7 Jul 2021 07:42:46.373,385.195
25,7 Jul 2021 09:12:33.932,7 Jul 2021 09:18:49.233,375.301
26,7 Jul 2021 10:49:27.320,7 Jul 2021 10:53:20.949,233.629
27,8 Jul 2021 05:04:37.546,8 Jul 2021 05:10:26.873,349.326
28,8 Jul 2021 06:40:20.447,8 Jul 2021 06:46:44.685,384.238
29,8 Jul 2021 08:16:31.920,8 Jul 2021 08:22:54.621,382.701
