"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 02:48:26.453,2 Jul 2021 02:53:43.931,317.478
2,2 Jul 2021 04:23:53.124,2 Jul 2021 04:30:17.074,383.949
3,2 Jul 2021 06:00:34.567,2 Jul 2021 06:06:38.441,363.874
4,2 Jul 2021 07:36:57.886,2 Jul 2021 07:43:21.354,383.468
5,2 Jul 2021 09:13:24.215,2 Jul 2021 09:19:02.887,338.672
6,3 Jul 2021 01:53:40.938,3 Jul 2021 01:56:58.350,197.412
7,3 Jul 2021 03:27:53.391,3 Jul 2021 03:34:16.693,383.302
8,3 Jul 2021 05:04:24.521,3 Jul 2021 05:10:32.355,367.834
9,3 Jul 2021 06:40:57.680,3 Jul 2021 06:47:11.985,374.305
10,3 Jul 2021 08:17:13.337,3 Jul 2021 08:23:28.987,375.650
11,4 Jul 2021 02:32:06.562,4 Jul 2021 02:38:11.703,365.141
12,4 Jul 2021 04:08:13.491,4 Jul 2021 04:14:29.728,376.237
13,4 Jul 2021 05:44:54.281,4 Jul 2021 05:51:00.353,366.072
14,4 Jul 2021 07:21:10.471,4 Jul 2021 07:27:36.792,386.320
15,4 Jul 2021 08:58:07.411,4 Jul 2021 09:02:20.233,252.823
16,5 Jul 2021 01:36:40.451,5 Jul 2021 01:41:55.238,314.787
17,5 Jul 2021 03:12:05.418,5 Jul 2021 03:18:29.055,383.637
18,5 Jul 2021 04:48:46.654,5 Jul 2021 04:54:50.048,363.395
19,5 Jul 2021 06:25:10.140,5 Jul 2021 06:31:32.899,382.759
20,5 Jul 2021 08:01:35.817,5 Jul 2021 08:07:15.700,339.883
21,6 Jul 2021 00:41:56.210,6 Jul 2021 00:45:06.716,190.506
22,6 Jul 2021 02:16:04.989,6 Jul 2021 02:22:27.627,382.638
23,6 Jul 2021 03:52:35.531,6 Jul 2021 03:58:43.092,367.561
24,6 Jul 2021 05:29:08.888,6 Jul 2021 05:35:22.398,373.510
25,6 Jul 2021 07:05:24.311,6 Jul 2021 07:11:40.134,375.823
26,7 Jul 2021 01:20:17.667,7 Jul 2021 01:26:21.429,363.762
27,7 Jul 2021 02:56:23.523,7 Jul 2021 03:02:39.585,376.062
28,7 Jul 2021 04:33:04.380,7 Jul 2021 04:39:09.767,365.386
29,7 Jul 2021 06:09:20.605,7 Jul 2021 06:15:46.504,385.899
30,7 Jul 2021 07:46:15.956,7 Jul 2021 07:50:32.267,256.312
31,8 Jul 2021 00:24:51.436,8 Jul 2021 00:30:03.414,311.977
32,8 Jul 2021 02:00:14.600,8 Jul 2021 02:06:37.968,383.368
33,8 Jul 2021 03:36:55.624,8 Jul 2021 03:42:58.559,362.935
34,8 Jul 2021 05:13:19.309,8 Jul 2021 05:19:41.334,382.025
35,8 Jul 2021 06:49:44.338,8 Jul 2021 06:55:25.438,341.101
36,8 Jul 2021 23:30:08.701,8 Jul 2021 23:33:11.731,183.030
37,9 Jul 2021 01:04:13.490,9 Jul 2021 01:10:35.491,382.001
38,9 Jul 2021 02:40:43.415,9 Jul 2021 02:46:50.752,367.337
39,9 Jul 2021 04:17:16.997,9 Jul 2021 04:23:29.707,372.709
40,9 Jul 2021 05:53:32.201,9 Jul 2021 05:59:48.191,375.991
41,10 Jul 2021 00:08:25.702,10 Jul 2021 00:14:28.064,362.362
42,10 Jul 2021 01:44:30.422,10 Jul 2021 01:50:46.366,375.944
43,10 Jul 2021 03:21:11.365,10 Jul 2021 03:27:16.084,364.719
44,10 Jul 2021 04:57:27.651,10 Jul 2021 05:03:53.113,385.462
45,10 Jul 2021 06:34:21.402,10 Jul 2021 06:38:41.249,259.847
46,10 Jul 2021 23:12:59.398,10 Jul 2021 23:18:08.461,309.063
47,11 Jul 2021 00:48:20.659,11 Jul 2021 00:54:43.811,383.152
48,11 Jul 2021 02:25:01.466,11 Jul 2021 02:31:03.993,362.527
49,11 Jul 2021 04:01:25.380,11 Jul 2021 04:07:46.667,381.287
50,11 Jul 2021 05:37:49.764,11 Jul 2021 05:43:32.103,342.339
51,11 Jul 2021 22:18:18.446,11 Jul 2021 22:21:13.356,174.911
52,11 Jul 2021 23:52:18.884,11 Jul 2021 23:58:40.274,381.390
53,12 Jul 2021 01:28:48.161,12 Jul 2021 01:34:55.338,367.177
54,12 Jul 2021 03:05:21.991,12 Jul 2021 03:11:33.915,371.924
55,12 Jul 2021 04:41:36.998,12 Jul 2021 04:47:53.155,376.157
56,12 Jul 2021 22:56:30.657,12 Jul 2021 23:02:31.605,360.948
57,13 Jul 2021 00:32:34.179,13 Jul 2021 00:38:50.085,375.905
58,13 Jul 2021 02:09:15.222,13 Jul 2021 02:15:19.310,364.088
59,13 Jul 2021 03:45:31.599,13 Jul 2021 03:51:56.624,385.025
60,13 Jul 2021 05:22:23.742,13 Jul 2021 05:26:47.189,263.447
61,13 Jul 2021 22:01:04.337,13 Jul 2021 22:06:10.368,306.031
62,13 Jul 2021 23:36:23.588,13 Jul 2021 23:42:46.587,382.999
63,14 Jul 2021 01:13:04.166,14 Jul 2021 01:19:06.344,362.178
64,14 Jul 2021 02:49:28.343,14 Jul 2021 02:55:48.896,380.553
65,14 Jul 2021 04:25:52.086,14 Jul 2021 04:31:35.706,343.620
66,14 Jul 2021 21:06:25.484,14 Jul 2021 21:09:11.536,166.052
67,14 Jul 2021 22:40:21.164,14 Jul 2021 22:46:41.980,380.817
68,15 Jul 2021 00:16:49.758,15 Jul 2021 00:22:56.855,367.096
69,15 Jul 2021 01:53:23.871,15 Jul 2021 01:59:35.025,371.155
70,15 Jul 2021 03:29:38.691,15 Jul 2021 03:35:55.044,376.352
71,15 Jul 2021 21:44:32.526,15 Jul 2021 21:50:32.049,359.523
72,15 Jul 2021 23:20:34.791,15 Jul 2021 23:26:50.742,375.951
73,16 Jul 2021 00:57:15.941,16 Jul 2021 01:03:19.450,363.510
74,16 Jul 2021 02:33:32.438,16 Jul 2021 02:39:57.041,384.602
75,16 Jul 2021 04:10:22.968,16 Jul 2021 04:14:50.081,267.113
76,16 Jul 2021 20:49:06.251,16 Jul 2021 20:54:09.129,302.878
77,16 Jul 2021 22:24:23.376,16 Jul 2021 22:30:46.292,382.916
78,17 Jul 2021 00:01:03.714,17 Jul 2021 00:07:05.616,361.902
79,17 Jul 2021 01:37:28.186,17 Jul 2021 01:43:48.026,379.840
80,17 Jul 2021 03:13:51.295,17 Jul 2021 03:19:36.246,344.950
81,17 Jul 2021 19:54:29.882,17 Jul 2021 19:57:06.192,156.309
82,17 Jul 2021 21:28:20.319,17 Jul 2021 21:34:40.611,380.292
83,17 Jul 2021 23:04:48.195,17 Jul 2021 23:10:55.299,367.104
84,18 Jul 2021 00:41:22.611,18 Jul 2021 00:47:33.043,370.432
85,18 Jul 2021 02:17:37.272,18 Jul 2021 02:23:53.846,376.574
86,18 Jul 2021 20:32:31.306,18 Jul 2021 20:38:29.398,358.092
87,18 Jul 2021 22:08:32.247,18 Jul 2021 22:14:48.328,376.081
88,18 Jul 2021 23:45:13.507,18 Jul 2021 23:51:16.507,363.000
89,19 Jul 2021 01:21:30.158,19 Jul 2021 01:27:54.365,384.207
90,19 Jul 2021 02:58:19.072,19 Jul 2021 03:02:49.929,270.857
91,19 Jul 2021 19:37:05.139,19 Jul 2021 19:42:04.732,299.593
92,19 Jul 2021 21:12:20.016,19 Jul 2021 21:18:42.927,382.911
93,19 Jul 2021 22:49:00.096,19 Jul 2021 22:55:01.820,361.723
94,20 Jul 2021 00:25:24.897,20 Jul 2021 00:31:44.064,379.167
95,20 Jul 2021 02:01:47.377,20 Jul 2021 02:07:33.722,346.344
96,20 Jul 2021 18:42:31.741,20 Jul 2021 18:44:57.216,145.475
97,20 Jul 2021 20:16:16.350,20 Jul 2021 20:22:36.154,379.804
