"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jul 2021 05:54:00.724,2 Jul 2021 05:59:00.695,299.971
2,2 Jul 2021 07:29:12.385,2 Jul 2021 07:35:37.414,385.029
3,2 Jul 2021 09:05:34.914,2 Jul 2021 09:11:56.749,381.835
4,2 Jul 2021 10:41:52.480,2 Jul 2021 10:48:17.424,384.944
5,2 Jul 2021 12:18:39.204,2 Jul 2021 12:23:10.286,271.081
6,3 Jul 2021 04:59:21.414,3 Jul 2021 05:02:11.130,169.716
7,3 Jul 2021 06:33:18.556,3 Jul 2021 06:39:35.841,377.285
8,3 Jul 2021 08:09:30.617,3 Jul 2021 08:15:52.941,382.325
9,3 Jul 2021 09:45:51.985,3 Jul 2021 09:52:18.023,386.038
10,3 Jul 2021 11:22:15.985,3 Jul 2021 11:27:57.891,341.906
11,4 Jul 2021 05:37:36.655,4 Jul 2021 05:43:29.598,352.943
12,4 Jul 2021 07:13:26.219,4 Jul 2021 07:19:50.663,384.445
13,4 Jul 2021 08:49:50.536,4 Jul 2021 08:56:13.871,383.335
14,4 Jul 2021 10:26:07.447,4 Jul 2021 10:32:20.836,373.389
15,4 Jul 2021 12:04:18.200,4 Jul 2021 12:05:22.989,64.789
16,5 Jul 2021 04:42:14.729,5 Jul 2021 04:47:11.791,297.062
17,5 Jul 2021 06:17:24.733,5 Jul 2021 06:23:49.225,384.492
18,5 Jul 2021 07:53:47.006,5 Jul 2021 08:00:08.330,381.324
19,5 Jul 2021 09:30:04.556,5 Jul 2021 09:36:29.175,384.619
20,5 Jul 2021 11:06:50.150,5 Jul 2021 11:11:23.771,273.620
21,6 Jul 2021 03:47:37.077,6 Jul 2021 03:50:18.893,161.815
22,6 Jul 2021 05:21:30.189,6 Jul 2021 05:27:46.593,376.404
23,6 Jul 2021 06:57:41.679,6 Jul 2021 07:04:03.583,381.905
24,6 Jul 2021 08:34:03.078,6 Jul 2021 08:40:28.582,385.504
