
Label=V(VOUT) vs I(I1)
LabelX=I(I1)
LabelY=V(VOUT)
Data Point Count=201
I(I1),I(I1),V(VOUT)
 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9648537335422203E-002
 9.9999999999999995E-007, 9.9999999999999995E-007, 3.1894034036120747E-002
 1.9999999999999999E-006, 1.9999999999999999E-006, 4.4653747386339114E-002
 3.0000000000000001E-006, 3.0000000000000001E-006, 6.6719037363386094E-002
 3.9999999999999998E-006, 3.9999999999999998E-006, 8.8817544243502147E-002
 4.9999999999999996E-006, 4.9999999999999996E-006, 1.1091622302725594E-001
 5.9999999999999993E-006, 5.9999999999999993E-006, 1.3301491792097941E-001
 6.9999999999999990E-006, 6.9999999999999990E-006, 1.5511361751848324E-001
 7.9999999999999996E-006, 7.9999999999999996E-006, 1.7721231897412054E-001
 9.0000000000000002E-006, 9.0000000000000002E-006, 1.9931102120944424E-001
 1.0000000000000001E-005, 1.0000000000000001E-005, 2.2140972377579157E-001
 1.1000000000000001E-005, 1.1000000000000001E-005, 2.4350842648293333E-001
 1.2000000000000002E-005, 1.2000000000000002E-005, 2.6560712924998581E-001
 1.3000000000000003E-005, 1.3000000000000003E-005, 2.8770583204253330E-001
 1.4000000000000003E-005, 1.4000000000000003E-005, 3.0980453484592996E-001
 1.5000000000000004E-005, 1.5000000000000004E-005, 3.3190323765394047E-001
 1.6000000000000003E-005, 1.6000000000000003E-005, 3.5400194046391892E-001
 1.7000000000000003E-005, 1.7000000000000003E-005, 3.7610064327472698E-001
 1.8000000000000004E-005, 1.8000000000000004E-005, 3.9819934608589408E-001
 1.9000000000000004E-005, 1.9000000000000004E-005, 4.2029804889721528E-001
 2.0000000000000005E-005, 2.0000000000000005E-005, 4.4239675170859871E-001
 2.1000000000000006E-005, 2.1000000000000006E-005, 4.6449545452000568E-001
 2.2000000000000006E-005, 2.2000000000000006E-005, 4.8659415733142741E-001
 2.3000000000000007E-005, 2.3000000000000007E-005, 5.0869286014285464E-001
 2.4000000000000007E-005, 2.4000000000000007E-005, 5.3079156295428498E-001
 2.5000000000000008E-005, 2.5000000000000008E-005, 5.5289026576571254E-001
 2.6000000000000009E-005, 2.6000000000000009E-005, 5.7498896857714510E-001
 2.7000000000000009E-005, 2.7000000000000009E-005, 5.9708767138857544E-001
 2.8000000000000010E-005, 2.8000000000000010E-005, 6.1918637420000444E-001
 2.9000000000000010E-005, 2.9000000000000010E-005, 6.4128507701143622E-001
 3.0000000000000011E-005, 3.0000000000000011E-005, 6.6338377982286389E-001
 3.1000000000000008E-005, 3.1000000000000008E-005, 6.8548248263429834E-001
 3.2000000000000005E-005, 3.2000000000000005E-005, 7.0758118544572846E-001
 3.3000000000000003E-005, 3.3000000000000003E-005, 7.2967988825716179E-001
 3.4000000000000000E-005, 3.4000000000000000E-005, 7.5177859106858924E-001
 3.4999999999999997E-005, 3.4999999999999997E-005, 7.7387729388002302E-001
 3.5999999999999994E-005, 3.5999999999999994E-005, 7.9597599669144936E-001
 3.6999999999999991E-005, 3.6999999999999991E-005, 8.1807469950288358E-001
 3.7999999999999989E-005, 3.7999999999999989E-005, 8.4017340231431381E-001
 3.8999999999999986E-005, 3.8999999999999986E-005, 8.6227210512574504E-001
 3.9999999999999983E-005, 3.9999999999999983E-005, 8.8437080793717682E-001
 4.0999999999999980E-005, 4.0999999999999980E-005, 9.0646951074860360E-001
 4.1999999999999977E-005, 4.1999999999999977E-005, 9.2856821356003716E-001
 4.2999999999999975E-005, 4.2999999999999975E-005, 9.5066691637147105E-001
 4.3999999999999972E-005, 4.3999999999999972E-005, 9.7276561918290072E-001
 4.4999999999999969E-005, 4.4999999999999969E-005, 9.9486432199432884E-001
 4.5999999999999966E-005, 4.5999999999999966E-005, 1.0169630248057604E+000
 4.6999999999999963E-005, 4.6999999999999963E-005, 1.0390617276171927E+000
 4.7999999999999961E-005, 4.7999999999999961E-005, 1.0611604304286237E+000
 4.8999999999999958E-005, 4.8999999999999958E-005, 1.0832591332400541E+000
 4.9999999999999955E-005, 4.9999999999999955E-005, 1.1053578360514849E+000
 5.0999999999999952E-005, 5.0999999999999952E-005, 1.1274565388629161E+000
 5.1999999999999949E-005, 5.1999999999999949E-005, 1.1495552416743482E+000
 5.2999999999999947E-005, 5.2999999999999947E-005, 1.1716539444857788E+000
 5.3999999999999944E-005, 5.3999999999999944E-005, 1.1937526472967155E+000
 5.4999999999999941E-005, 5.4999999999999941E-005, 1.2148697544229961E+000
 5.5999999999999938E-005, 5.5999999999999938E-005, 1.2369684572344297E+000
 5.6999999999999935E-005, 5.6999999999999935E-005, 1.2590671600458607E+000
 5.7999999999999933E-005, 5.7999999999999933E-005, 1.2811658628572899E+000
 5.8999999999999930E-005, 5.8999999999999930E-005, 1.3032645656687243E+000
 5.9999999999999927E-005, 5.9999999999999927E-005, 1.3253632684801535E+000
 6.0999999999999924E-005, 6.0999999999999924E-005, 1.3474619712915858E+000
 6.1999999999999921E-005, 6.1999999999999921E-005, 1.3695606741030131E+000
 6.2999999999999919E-005, 6.2999999999999919E-005, 1.3916593769144443E+000
 6.3999999999999916E-005, 6.3999999999999916E-005, 1.4137580797258764E+000
 6.4999999999999913E-005, 6.4999999999999913E-005, 1.4358567825373101E+000
 6.5999999999999910E-005, 6.5999999999999910E-005, 1.4579554853487382E+000
 6.6999999999999907E-005, 6.6999999999999907E-005, 1.4800541881601668E+000
 6.7999999999999905E-005, 6.7999999999999905E-005, 1.5021528909715962E+000
 6.8999999999999902E-005, 6.8999999999999902E-005, 1.5242515937830243E+000
 6.9999999999999899E-005, 6.9999999999999899E-005, 1.5463502965944391E+000
 7.0999999999999896E-005, 7.0999999999999896E-005, 1.5684489994058355E+000
 7.1999999999999893E-005, 7.1999999999999893E-005, 1.5905477022171879E+000
 7.2999999999999891E-005, 7.2999999999999891E-005, 1.6126464050284659E+000
 7.3999999999999888E-005, 7.3999999999999888E-005, 1.6347451078396453E+000
 7.4999999999999885E-005, 7.4999999999999885E-005, 1.6568438106507708E+000
 7.5999999999999882E-005, 7.5999999999999882E-005, 1.6789425134619420E+000
 7.6999999999999879E-005, 7.6999999999999879E-005, 1.7010412162732016E+000
 7.7999999999999877E-005, 7.7999999999999877E-005, 1.7231399190845451E+000
 7.8999999999999874E-005, 7.8999999999999874E-005, 1.7452386218959328E+000
 7.9999999999999871E-005, 7.9999999999999871E-005, 1.7673373247073494E+000
 8.0999999999999868E-005, 8.0999999999999868E-005, 1.7894360275187706E+000
 8.1999999999999865E-005, 8.1999999999999865E-005, 1.8115347303302007E+000
 8.2999999999999863E-005, 8.2999999999999863E-005, 1.8336334331416342E+000
 8.3999999999999860E-005, 8.3999999999999860E-005, 1.8557321359530632E+000
 8.4999999999999857E-005, 8.4999999999999857E-005, 1.8778308387644911E+000
 8.5999999999999854E-005, 8.5999999999999854E-005, 1.8999295415759241E+000
 8.6999999999999851E-005, 8.6999999999999851E-005, 1.9220282443873562E+000
 8.7999999999999849E-005, 8.7999999999999849E-005, 1.9441269471987883E+000
 8.8999999999999846E-005, 8.8999999999999846E-005, 1.9662256500102204E+000
 8.9999999999999843E-005, 8.9999999999999843E-005, 1.9883243528216550E+000
 9.0999999999999840E-005, 9.0999999999999840E-005, 2.0104230556330869E+000
 9.1999999999999837E-005, 9.1999999999999837E-005, 2.0325217584445197E+000
 9.2999999999999835E-005, 9.2999999999999835E-005, 2.0546204612559524E+000
 9.3999999999999832E-005, 9.3999999999999832E-005, 2.0767191640673865E+000
 9.4999999999999829E-005, 9.4999999999999829E-005, 2.0987635346019071E+000
 9.5999999999999826E-005, 9.5999999999999826E-005, 2.1190900495706626E+000
 9.6999999999999823E-005, 9.6999999999999823E-005, 2.1411887523820980E+000
 9.7999999999999821E-005, 9.7999999999999821E-005, 2.1632874551935233E+000
 9.8999999999999818E-005, 9.8999999999999818E-005, 2.1853861580049609E+000
