"Time (UTCG)","Semi-parameter (km)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","Arg of Perigee (deg)","RAAN (deg)","Height of Apogee (km)","Height of Perigee (km)","Sidereal Period (sec)","Orbit Count"
1 Jan 2021 17:42:50.142,6777.470591,6777.471873,0.00043499,51.558120,166.876141,34.419482,402.283038,396.386708,5552.806842,0
2 Jan 2021 09:06:20.754,6777.436424,6777.437482,0.00039510,51.558161,172.493387,31.193850,401.978254,396.622710,5552.764577,10
3 Jan 2021 00:29:51.149,6777.402268,6777.403120,0.00035449,51.558239,179.099569,27.968208,401.668624,396.863615,5552.722347,20
3 Jan 2021 15:53:21.116,6777.368005,6777.368671,0.00031349,51.558344,186.995989,24.742573,401.356318,397.107023,5552.680012,30
4 Jan 2021 07:16:50.652,6777.333618,6777.334123,0.00027275,51.558459,196.590963,21.516955,401.045638,397.348608,5552.637554,40
4 Jan 2021 22:40:19.754,6777.299070,6777.299439,0.00023329,51.558568,208.409791,18.291360,400.743548,397.581330,5552.594930,50
5 Jan 2021 14:03:48.419,6777.264276,6777.264539,0.00019693,51.558652,223.042772,15.065780,400.462174,397.792904,5552.552039,60
6 Jan 2021 05:27:16.644,6777.229243,6777.229431,0.00016645,51.558699,240.861576,11.840205,400.220530,397.964332,5552.508894,70
6 Jan 2021 20:50:44.426,6777.194064,6777.194208,0.00014570,51.558695,261.236591,8.614617,400.044628,398.069787,5552.465607,80
7 Jan 2021 12:14:11.764,6777.158605,6777.158734,0.00013837,51.558635,281.405432,5.388988,399.959474,398.083995,5552.422013,90
8 Jan 2021 03:37:38.656,6777.122820,6777.122962,0.00014517,51.558529,297.310854,2.163281,399.969768,398.002157,5552.378052,100
8 Jan 2021 19:01:05.100,6777.086865,6777.087045,0.00016256,51.558406,307.521062,358.937471,400.051737,397.848352,5552.333912,110
9 Jan 2021 10:24:31.095,6777.050689,6777.050924,0.00018608,51.558296,313.675583,355.711566,400.174964,397.652884,5552.289523,120
10 Jan 2021 01:47:56.639,6777.014270,6777.014578,0.00021290,51.558221,317.596444,352.485584,400.320413,397.434742,5552.244856,130
10 Jan 2021 17:11:21.730,6776.977647,6776.978043,0.00024166,51.558189,320.336428,349.259555,400.478782,397.203304,5552.199958,140
11 Jan 2021 08:34:46.365,6776.940785,6776.941285,0.00027168,51.558199,322.418197,346.033506,400.645463,396.963107,5552.154786,150
11 Jan 2021 23:58:10.543,6776.903639,6776.904260,0.00030260,51.558238,324.116733,342.807458,400.817983,396.716537,5552.109285,160
12 Jan 2021 15:21:34.259,6776.866376,6776.867133,0.00033423,51.558290,325.580160,339.581427,400.995193,396.465073,5552.063660,170
13 Jan 2021 06:44:57.513,6776.828929,6776.829839,0.00036645,51.558335,326.890685,336.355416,401.176199,396.209480,5552.017830,180
13 Jan 2021 22:08:20.302,6776.791338,6776.792418,0.00039917,51.558357,328.102148,333.129419,401.360489,395.950347,5551.971843,190
14 Jan 2021 13:31:42.625,6776.753617,6776.754884,0.00043234,51.558344,329.243482,329.903422,401.547768,395.688000,5551.925717,200
15 Jan 2021 04:55:04.481,6776.715800,6776.717271,0.00046594,51.558290,330.335923,326.677405,401.737837,395.422705,5551.879496,210
15 Jan 2021 20:18:25.868,6776.677907,6776.679601,0.00049993,51.558197,331.395586,323.451349,401.930490,395.154711,5551.833203,220
16 Jan 2021 11:41:46.786,6776.639980,6776.641914,0.00053431,51.558073,332.430292,320.225233,402.125713,394.884116,5551.786891,230
